n,part,label,ml_incipit,ml_page,dv_incipit,dv_phys_page,dv_kindle_page,audio_time,audio_track,audio_method
74,Swann in Love,Swann · 17,And if Swann asked her what she,326,"“Why, smart places! My goodness! If at",250,310,11:55:33,34,matched(83)
75,Swann in Love,Swann · 18,Like everything else that formed part of,331,Like everything else that was part of,255,315,12:09:05,35,matched(100)
76,Swann in Love,Swann · 19,He might have reminded himself that there,334,"And so there was probably not, in",257,318,12:15:47,35,matched(82)
77,Swann in Love,Swann · 20,“What! Do you mean to say you,338,“What? You haven’t heard of the famous,260,321,12:25:23,35,matched(92)
78,Swann in Love,Swann · 21 — Forcheville,“Who is that lady? She seems devilish,342,And delighted and abashed by the appropriateness,263,325,12:34:49,36,matched(97)
79,Swann in Love,Swann · 22,"To which Swann answered: “Why, I’m not",347,"“As you see it,” Forcheville went on,",268,330,12:45:06,36,matched(99)
80,Swann in Love,Swann · 23,“What a delightful man your husband is;,351,"“How charming your husband is, he has",270,333,12:53:45,37,matched(74)
81,Swann in Love,Swann · 24,"Often she was plagued with money troubles,",355,"Often, she had money troubles and, hard-pressed",274,337,13:04:31,37,matched(72)
82,Swann in Love,Swann · 25 — the Bois de Boulogne,"After dinner, if he had an early",360,"After dinner, if the appointed meeting time",278,341,13:13:57,38,matched(100)
83,Swann in Love,Swann · 26,Certainly he suffered as he watched that,363,She asked him to put out the,280,343,13:21:48,38,matched(94)
84,Swann in Love,Swann · 27,"But then at once his jealousy, as",368,This torture became still crueler when Swann,284,348,13:31:43,39,matched(87)
85,Swann in Love,Swann · 28,When he proposed to take leave of,372,When he tried to say good-bye to,288,352,13:43:13,40,matched(94)
86,Swann in Love,Swann · 29,After that he read the whole letter.,376,Then he read the whole letter; at,291,356,13:51:07,40,matched(98)
87,Swann in Love,Swann · 30,He pictured to himself with disgust the,380,He pictured to himself with disgust the,294,360,14:00:54,40,matched(75)
88,Swann in Love,Swann · 31,"“I swear to you,” he told her,",385,"“I swear,” he said to her a",298,365,14:12:30,41,matched(100)
89,Swann in Love,Swann · 32,But when she had set off for,388,But when she had left for Dreux,301,368,14:20:03,41,matched(96)
90,Swann in Love,Swann · 33,"Sometimes, when she had been away on",392,The fact was that she had not,304,371,14:30:35,41,matched(100)
91,Swann in Love,Swann · 34,And yet he was inclined to suspect,396,Yet he actually suspected that what he,309,376,14:40:32,42,matched(100)
92,Swann in Love,Swann · 35,"And thinking of this other Odette, he",400,"Then, thinking of this Odette, he would",312,380,14:48:43,42,matched(91)
93,Swann in Love,Swann · 36,But at other times—when Odette was on,404,But there were other occasions—Odette was about,316,384,14:58:46,43,matched(100)
94,Swann in Love,Swann · 37,By this love Swann had been so,409,By this love Swann had been so,319,388,15:07:47,43,matched(99)
95,Swann in Love,Swann · 38,My uncle advised Swann not to see,413,My uncle advised Swann to let a,323,392,15:17:17,44,matched(99)
96,Swann in Love,Swann · 39,"“But what do you mean, my dear",417,My uncle advised Swann to let a,323,392,15:27:25,44,matched(93)
97,Swann in Love,Swann · 40,"It sometimes happened, again, that when, after",421,"It also sometimes happened that when, after",330,400,15:37:14,45,matched(99)
98,Swann in Love,Swann · 41,"“Oh! Good heavens, no! I can tell",423,And he would try to show her,332,402,15:42:55,45,matched(94)
99,Swann in Love,Swann · 42,"Others again, no less colossal, were disposed",428,"Still others, also colossal, stood on the",336,407,15:52:12,45,matched(100)
100,Swann in Love,Swann · 43,"As it happened, the Princesse des Laumes,",435,"Now as it happened, the Princesse des",342,414,16:09:08,46,estimate(miss 68)/loc
101,Swann in Love,Swann · 44,Brought up in a provincial household with,437,Living in a provincial family that had,343,415,16:13:29,46,matched(79)
102,Swann in Love,Swann · 45,"“Tell me, have you seen your friend",440,"“Oh, by the way, did you see",346,419,16:21:16,46,matched(92)
103,Swann in Love,Swann · 46,“But I have the deepest respect for,444,“But I have the deepest respect for,350,422,16:30:41,47,matched(96)
104,Swann in Love,Swann · 47,Which was probably not true. But Swann,449,Swann declined; having told M. de Charlus,354,428,16:39:58,47,matched(96)
105,Swann in Love,Swann · 48,In place of the abstract expressions “the,454,In place of the abstract expressions the,357,431,16:49:34,48,matched(100)
106,Swann in Love,Swann · 49,When it was the little phrase that,457,As if the instrumentalists were not so,359,434,16:59:10,48,matched(100)
107,Swann in Love,Swann · 50,"From that evening onwards, Swann understood that",463,"From that evening on, Swann understood that",365,440,17:13:27,49,matched(91)
108,Swann in Love,Swann · 51,"Sometimes he hoped that she would die,",465,Sometimes he hoped she would die in,367,442,17:19:03,49,matched(97)
109,Swann in Love,Swann · 52,"In a word, this anonymous letter proved",470,One day he received an anonymous letter,368,444,17:29:53,50,matched(91)
110,Swann in Love,Swann · 53,"“Odette, my darling,” he began, “I know",474,"“Odette,” he said to her, “my dear,",374,451,17:40:26,50,matched(99)
111,Swann in Love,Swann · 54,"“My darling,” he began again, “it’s all",477,Swann had envisaged all the possibilities. Reality,376,452,17:49:42,51,matched(100)
112,Swann in Love,Swann · 55,"But, often enough, the things that he",483,But often the things he did not,382,459,18:01:46,51,matched(93)
113,Swann in Love,Swann · 56,He smiled back at her with the,485,One time she told him about a,383,461,18:08:04,51,matched(100)
114,Swann in Love,Swann · 57,"“I needn’t ask you, M. Swann, whether",491,"“I don’t need to ask you, monsieur,",388,466,18:18:26,52,matched(90)
115,Swann in Love,Swann · 58,He was mistaken. He was destined to,495,In the past having often thought with,391,469,18:29:11,52,matched(100)
116,Swann in Love,Swann · 59,"“Sir, it’s eight o’clock, and the barber",498,"“Monsieur, it’s eight o’clock and the hairdresser",394,473,18:34:41,52,matched(98)
117,Place-Names,Place-Names · 1,"One day when, at Combray, I had",503,“In that place you can still feel,398,478,18:45:00,53,matched(84)
118,Place-Names,Place-Names · 2,If my health had grown stronger and,508,If my health improved and my parents,403,482,18:56:31,53,matched(71)
119,Place-Names,Place-Names · 3,"And alas, he also imposed a formal",515,"And also, alas, he forbade them absolutely",408,488,19:10:48,54,matched(70)
120,Place-Names,Place-Names · 4 — Gilberte,But would she come back to the,517,But would she come back to the,410,490,19:15:44,54,matched(88)
121,Place-Names,Place-Names · 5,The first of these days—to which the,521,The first of these days—to which the,413,494,19:25:13,55,matched(100)
122,Place-Names,Place-Names · 6,"It did, however, make some progress. One",526,"But when I reached the Champs-Élysées—and when,",416,497,19:35:13,55,matched(68)
123,Place-Names,Place-Names · 7,"I dragged Françoise, in the hope of",531,I led Françoise out as far as,421,502,19:45:00,55,matched(69)
124,Place-Names,Place-Names · 8,On one of these sunny days which,534,On one of those sunny days that,424,505,19:51:57,56,matched(77)
125,Place-Names,Place-Names · 9,"It showed me finally, the new arrangement",540,Meanwhile I reread a page which had,425,507,20:03:08,56,matched(76)
126,Place-Names,Place-Names · 10,“Did you speak to him?” I asked.,543,“Did you say hello to each other?”,431,512,20:10:33,57,matched(100)
127,Place-Names,Place-Names · 11,I assigned the first place in the,548,"I assigned the first place to simplicity,",435,517,20:21:34,57,matched(100)
128,Place-Names,Place-Names · 12,On certain days when I had missed,551,"Though I could not hear these comments,",437,519,20:29:00,58,matched(90)
129,Place-Names,Place-Names · 13,How horrible! I exclaimed to myself. Can,557,How awful! I said to myself: can,442,525,20:41:52,58,matched(78)
